
#########################################
#                                       #
#  Log Start: Tue Nov 17 15:28:46 2015  #
#                                       #
#########################################


#########################################
#                                       #
#  Log Start: Tue Nov 17 15:33:45 2015  #
#                                       #
#########################################


#########################################
#                                       #
#  Log Start: Tue Nov 17 16:18:32 2015  #
#                                       #
#########################################


#########################################
#                                       #
#  Log Start: Tue Nov 17 16:19:39 2015  #
#                                       #
#########################################


#########################################
#                                       #
#  Log Start: Wed Feb 10 13:56:59 2016  #
#                                       #
#########################################

Replace following values in FDM with Delta Triangulation interpolated values:
  - values between 0 and 0 (inclusive)
  - infinity (+/- Inf)
  - not a number (NaN)
Depth=0 Number of interpolated values=1102
Depth=50 Number of interpolated values=1102
Depth=100 Number of interpolated values=1102
Depth=150 Number of interpolated values=1102
Depth=200 Number of interpolated values=1102
Depth=250 Number of interpolated values=1102
Depth=300 Number of interpolated values=1102
Depth=350 Number of interpolated values=1102
Depth=400 Number of interpolated values=1102
Depth=450 Number of interpolated values=1102
Depth=500 Number of interpolated values=1102
Depth=550 Number of interpolated values=1102
Depth=600 Number of interpolated values=1102
Depth=650 Number of interpolated values=1102
Depth=700 Number of interpolated values=1102
Depth=750 Number of interpolated values=1102
Depth=800 Number of interpolated values=1102
Depth=850 Number of interpolated values=1102
Depth=900 Number of interpolated values=1102
Depth=950 Number of interpolated values=1102
Depth=1000 Number of interpolated values=1102
Depth=1050 Number of interpolated values=1102
Depth=1100 Number of interpolated values=1102
Depth=1150 Number of interpolated values=1102
Depth=1200 Number of interpolated values=1102
Depth=1250 Number of interpolated values=1102
Depth=1300 Number of interpolated values=1102
Depth=1350 Number of interpolated values=1102
Depth=1400 Number of interpolated values=1102
Depth=1450 Number of interpolated values=1102
Depth=1500 Number of interpolated values=1102
Depth=1550 Number of interpolated values=1102
Depth=1600 Number of interpolated values=1102
Depth=1650 Number of interpolated values=1102
Depth=1700 Number of interpolated values=1102
Depth=1750 Number of interpolated values=1102
Depth=1800 Number of interpolated values=1102
Depth=1850 Number of interpolated values=1102
Depth=1900 Number of interpolated values=1102
Depth=1950 Number of interpolated values=1102
Depth=2000 Number of interpolated values=1102
Depth=2050 Number of interpolated values=1102
Depth=2100 Number of interpolated values=1102
Depth=2150 Number of interpolated values=1102
Depth=2200 Number of interpolated values=1102
Depth=2250 Number of interpolated values=1102
Depth=2300 Number of interpolated values=1102
Depth=2350 Number of interpolated values=1102
Depth=2400 Number of interpolated values=1102
Depth=2450 Number of interpolated values=1102
Depth=2500 Number of interpolated values=1102
Depth=2550 Number of interpolated values=1102
Depth=2600 Number of interpolated values=1102
Depth=2650 Number of interpolated values=1102
Depth=2700 Number of interpolated values=1102
Depth=2750 Number of interpolated values=1102
Depth=2800 Number of interpolated values=1102
Depth=2850 Number of interpolated values=1102
Depth=2900 Number of interpolated values=1102
Depth=2950 Number of interpolated values=1102
Depth=3000 Number of interpolated values=1102
Depth=3050 Number of interpolated values=1102
Depth=3100 Number of interpolated values=1102
Depth=3150 Number of interpolated values=1102
Depth=3200 Number of interpolated values=1102
Depth=3250 Number of interpolated values=1102
Depth=3300 Number of interpolated values=1102
Depth=3350 Number of interpolated values=1102
Depth=3400 Number of interpolated values=1102
Depth=3450 Number of interpolated values=1102
Depth=3500 Number of interpolated values=1102
Depth=3550 Number of interpolated values=1102
Depth=3600 Number of interpolated values=1102
Depth=3650 Number of interpolated values=1102
Depth=3700 Number of interpolated values=1102
Depth=3750 Number of interpolated values=1102
Depth=3800 Number of interpolated values=1102
Depth=3850 Number of interpolated values=1102
Depth=3900 Number of interpolated values=1102
Depth=3950 Number of interpolated values=1102
Depth=4000 Number of interpolated values=1102
Depth=4050 Number of interpolated values=1102
Depth=4100 Number of interpolated values=1102
Depth=4150 Number of interpolated values=1102
Depth=4200 Number of interpolated values=1102
Depth=4250 Number of interpolated values=1102
Depth=4300 Number of interpolated values=1102
Depth=4350 Number of interpolated values=1102
Depth=4400 Number of interpolated values=1102
Depth=4450 Number of interpolated values=1102
Depth=4500 Number of interpolated values=1102
Depth=4550 Number of interpolated values=1102
Depth=4600 Number of interpolated values=1102
Depth=4650 Number of interpolated values=1102
Depth=4700 Number of interpolated values=1102
Depth=4750 Number of interpolated values=1102
Depth=4800 Number of interpolated values=1102
Depth=4850 Number of interpolated values=1102
Depth=4900 Number of interpolated values=1102
Depth=4950 Number of interpolated values=1102
